"store_id","time","treatment","location","type","beer_sales","wine_sales","theft_rate"
"1",1,1,"Downtown","Wine",31,30.18,0.012
"1",2,1,"Downtown","Wine",38.74,32.52,0.002
"1",3,1,"Downtown","Wine",23.47,34.09,0.02
"1",4,1,"Downtown","Wine",31.7,34.98,0.003
"1",5,1,"Downtown","Wine",23.83,24.83,0.011
"1",6,1,"Downtown","Wine",32.3,27.53,0.001
"1",7,1,"Downtown","Wine",31.03,35.96,0.015
"1",8,1,"Downtown","Wine",25.36,29.62,0.009
"1",9,1,"Downtown","Wine",28.14,35.32,0.003
"1",10,1,"Downtown","Wine",33.39,29.44,0.004
"1",11,1,"Downtown","Wine",25.39,27.75,0.013
"1",12,1,"Downtown","Wine",41.81,30.98,0.007
"1",13,1,"Downtown","Wine",30.89,31.14,0.002
"1",14,1,"Downtown","Wine",27.92,30.66,0.016
"1",15,1,"Downtown","Wine",27.37,26.43,0.012
"1",16,1,"Downtown","Wine",31.79,25.53,0.012
"1",17,1,"Downtown","Wine",25.63,22.58,0.016
"1",18,1,"Downtown","Wine",28.49,22.2,0.002
"1",19,1,"Downtown","Wine",30.85,29.26,0.001
"1",20,1,"Downtown","Wine",40.81,21.73,0.011
"1",21,1,"Downtown","Wine",34.52,21.77,0.018
"1",22,1,"Downtown","Wine",29.31,24.7,0.001
"1",23,1,"Downtown","Wine",34.07,24.38,0.008
"1",24,1,"Downtown","Wine",40.34,27.67,0.005
"1",25,1,"Downtown","Wine",34.11,24.22,0.016
"1",26,1,"Downtown","Wine",35.95,20.85,0.015
"1",27,1,"Downtown","Wine",29.95,19.58,0.02
"1",28,1,"Downtown","Wine",25.97,21.19,0.003
"1",29,1,"Downtown","Wine",44.41,26.17,0.003
"1",30,1,"Downtown","Wine",38.98,19.62,0.008
"2",1,0,"West Van","Specialty",27.63,26.97,0.004
"2",2,0,"West Van","Specialty",30.71,29.28,0.019
"2",3,0,"West Van","Specialty",32.67,33.8,0.02
"2",4,0,"West Van","Specialty",36.12,34.97,0.019
"2",5,0,"West Van","Specialty",43.28,36.9,0.013
"2",6,0,"West Van","Specialty",24.66,30.07,0
"2",7,0,"West Van","Specialty",34.41,35.52,0.015
